id,question,answer,url
11,Как удалить сыгранные билеты из раздела «Мои билеты»?,Самостоятельное удаление билетов невозможно — они автоматически перемещаются в архив по истечении 180 дней с момента проведения тиража/розыгрыша.,False
12,"Что делать, если я хочу очистить раздел с билетами в личном кабинете?",Самостоятельное удаление билетов невозможно — они автоматически перемещаются в архив по истечении 180 дней с момента проведения тиража/розыгрыша.,False
13,Как избавиться от сыгранных билетов в личном кабинете?,Самостоятельное удаление билетов невозможно — они автоматически перемещаются в архив по истечении 180 дней с момента проведения тиража/розыгрыша.,False
14,"Как удалить билеты, которые уже были сыграны?",Самостоятельное удаление билетов невозможно — они автоматически перемещаются в архив по истечении 180 дней с момента проведения тиража/розыгрыша.,False
15,Есть ли способ очистить раздел «Мои билеты» от прошлых тиражей?,Самостоятельное удаление билетов невозможно — они автоматически перемещаются в архив по истечении 180 дней с момента проведения тиража/розыгрыша.,False
16,Как отказаться от подписки на лотерею?,"Чтобы изменить статус подписки, кликните на ее название «(Подписка 1, Подписка 2 и т.д.)» и нажмите «Возобновить/Приостановить», «Удалить».",False
17,"Что делать, если хочу прекратить подписку на лотерею?","Чтобы изменить статус подписки, кликните на ее название «(Подписка 1, Подписка 2 и т.д.)» и нажмите «Возобновить/Приостановить», «Удалить».",False
18,Как отменить участие в лотерейной подписке?,"Чтобы изменить статус подписки, кликните на ее название «(Подписка 1, Подписка 2 и т.д.)» и нажмите «Возобновить/Приостановить», «Удалить».",False
19,Есть ли способ отказаться от участия в лотерее?,"Чтобы изменить статус подписки, кликните на ее название «(Подписка 1, Подписка 2 и т.д.)» и нажмите «Возобновить/Приостановить», «Удалить».",False
20,Как прекратить подписку на участие в лотереях?,"Чтобы изменить статус подписки, кликните на ее название «(Подписка 1, Подписка 2 и т.д.)» и нажмите «Возобновить/Приостановить», «Удалить».",False
21,Как заработать дополнительные бонусы?,"После регистрации на сайте и покупки первого лотерейного билеты вы получите 20 бонусов. Участвуйте в лотереях, бонусных играх, специальных акциях, дарите билеты, приглашайте друзей. В акциях разыгрываются призы номиналами в тысячи бонусов! Мы сообщаем об акциях в письмах, а также в разделе «Новости».",False
22,"Что нужно сделать, чтобы получить больше бонусных баллов?","После регистрации на сайте и покупки первого лотерейного билеты вы получите 20 бонусов. Участвуйте в лотереях, бонусных играх, специальных акциях, дарите билеты, приглашайте друзей. В акциях разыгрываются призы номиналами в тысячи бонусов! Мы сообщаем об акциях в письмах, а также в разделе «Новости».",False
23,Есть ли способы увеличить количество бонусов?,"После регистрации на сайте и покупки первого лотерейного билеты вы получите 20 бонусов. Участвуйте в лотереях, бонусных играх, специальных акциях, дарите билеты, приглашайте друзей. В акциях разыгрываются призы номиналами в тысячи бонусов! Мы сообщаем об акциях в письмах, а также в разделе «Новости».",False
24,Как участвовать в акциях для получения дополнительных бонусов?,"После регистрации на сайте и покупки первого лотерейного билеты вы получите 20 бонусов. Участвуйте в лотереях, бонусных играх, специальных акциях, дарите билеты, приглашайте друзей. В акциях разыгрываются призы номиналами в тысячи бонусов! Мы сообщаем об акциях в письмах, а также в разделе «Новости».",False
25,Как получить больше бонусов на сайте?,"После регистрации на сайте и покупки первого лотерейного билеты вы получите 20 бонусов. Участвуйте в лотереях, бонусных играх, специальных акциях, дарите билеты, приглашайте друзей. В акциях разыгрываются призы номиналами в тысячи бонусов! Мы сообщаем об акциях в письмах, а также в разделе «Новости».",False
26,На что можно использовать бонусы?,"В первую очередь — на бесплатное оформление билетов на stoloto.ru: у каждой лотереи есть номинал в бонусах. Другие варианты: бонусные игры, где можно весело провести время и выиграть до 5 000 бонусов. Срок действия бонусов: 6 месяцев со дня начисления. В некоторых акциях этот срок меньше. Внимательно читайте условия акции.",False
27,Какие возможности для использования бонусов на сайте?,"В первую очередь — на бесплатное оформление билетов на stoloto.ru: у каждой лотереи есть номинал в бонусах. Другие варианты: бонусные игры, где можно весело провести время и выиграть до 5 000 бонусов. Срок действия бонусов: 6 месяцев со дня начисления. В некоторых акциях этот срок меньше. Внимательно читайте условия акции.",False
28,"Чем можно расплатиться, используя бонусы?","В первую очередь — на бесплатное оформление билетов на stoloto.ru: у каждой лотереи есть номинал в бонусах. Другие варианты: бонусные игры, где можно весело провести время и выиграть до 5 000 бонусов. Срок действия бонусов: 6 месяцев со дня начисления. В некоторых акциях этот срок меньше. Внимательно читайте условия акции.",False
29,Есть ли ограничения по использованию бонусов?,"В первую очередь — на бесплатное оформление билетов на stoloto.ru: у каждой лотереи есть номинал в бонусах. Другие варианты: бонусные игры, где можно весело провести время и выиграть до 5 000 бонусов. Срок действия бонусов: 6 месяцев со дня начисления. В некоторых акциях этот срок меньше. Внимательно читайте условия акции.",False
30,Какие услуги или товары можно приобрести за бонусные баллы?,"В первую очередь — на бесплатное оформление билетов на stoloto.ru: у каждой лотереи есть номинал в бонусах. Другие варианты: бонусные игры, где можно весело провести время и выиграть до 5 000 бонусов. Срок действия бонусов: 6 месяцев со дня начисления. В некоторых акциях этот срок меньше. Внимательно читайте условия акции.",False
31,Как прекратить получать СМС и имейл-рассылки?,"Чтобы настроить или отключить рассылки, откройте «Профиль» в личном кабинете и зайдите в раздел «Уведомления».Также вы можете написать по адресу info@stoloto.ru или в чат поддержки. Сообщите консультанту почту или номер телефона, на которые вы больше не хотите получать рассылки.",False
32,Как отписаться от уведомлений по СМС и почте?,"Чтобы настроить или отключить рассылки, откройте «Профиль» в личном кабинете и зайдите в раздел «Уведомления».Также вы можете написать по адресу info@stoloto.ru или в чат поддержки. Сообщите консультанту почту или номер телефона, на которые вы больше не хотите получать рассылки.",False
33,Есть ли способ отключить СМС и имейл-рассылки?,"Чтобы настроить или отключить рассылки, откройте «Профиль» в личном кабинете и зайдите в раздел «Уведомления».Также вы можете написать по адресу info@stoloto.ru или в чат поддержки. Сообщите консультанту почту или номер телефона, на которые вы больше не хотите получать рассылки.",False
34,Как перестать получать рекламные сообщения?,"Чтобы настроить или отключить рассылки, откройте «Профиль» в личном кабинете и зайдите в раздел «Уведомления».Также вы можете написать по адресу info@stoloto.ru или в чат поддержки. Сообщите консультанту почту или номер телефона, на которые вы больше не хотите получать рассылки.",False
35,"Что делать, если не хочу больше получать уведомления по СМС и электронной почте?","Чтобы настроить или отключить рассылки, откройте «Профиль» в личном кабинете и зайдите в раздел «Уведомления».Также вы можете написать по адресу info@stoloto.ru или в чат поддержки. Сообщите консультанту почту или номер телефона, на которые вы больше не хотите получать рассылки.",False
36,Не могу купить билеты,"Возможно, Вы исчерпали ежемесячные лимиты по Кошельку. Вам необходимо пройти идентификацию на сайте Столото или ожидать первого числа нового месяца, когда лимиты обновятся.",https://www.stoloto.ru/lottery/onlinesale?int=faq
37,Не получается оплатить билет,"Возможно, Вы исчерпали ежемесячные лимиты по Кошельку. Вам необходимо пройти идентификацию на сайте Столото или ожидать первого числа нового месяца, когда лимиты обновятся.",https://www.stoloto.ru/lottery/onlinesale?int=faq
38,Как купить билет,"Возможно, Вы исчерпали ежемесячные лимиты по Кошельку. Вам необходимо пройти идентификацию на сайте Столото или ожидать первого числа нового месяца, когда лимиты обновятся.",https://www.stoloto.ru/lottery/onlinesale?int=faq
39,Не проходит оплата билета,"Возможно, Вы исчерпали ежемесячные лимиты по Кошельку. Вам необходимо пройти идентификацию на сайте Столото или ожидать первого числа нового месяца, когда лимиты обновятся.",https://www.stoloto.ru/lottery/onlinesale?int=faq
40,"Как купить билет, не работает","Возможно, Вы исчерпали ежемесячные лимиты по Кошельку. Вам необходимо пройти идентификацию на сайте Столото или ожидать первого числа нового месяца, когда лимиты обновятся.",https://www.stoloto.ru/lottery/onlinesale?int=faq
41,Как совершить покупку билета?,Выберите способ покупки билетов на странице «Адреса точек продаж и выплат» .Подробная инструкция о покупке билетов на сайте находится на странице «Как купить билет на сайте stoloto.ru».,https://www.stoloto.ru/lottery/onlinesale?int=faq
42,"Что нужно сделать, чтобы купить лотерейный билет?",Выберите способ покупки билетов на странице «Адреса точек продаж и выплат» .Подробная инструкция о покупке билетов на сайте находится на странице «Как купить билет на сайте stoloto.ru».,https://www.stoloto.ru/lottery/onlinesale?int=faq
43,Как оформить покупку билета на сайте?,Выберите способ покупки билетов на странице «Адреса точек продаж и выплат» .Подробная инструкция о покупке билетов на сайте находится на странице «Как купить билет на сайте stoloto.ru».,https://www.stoloto.ru/lottery/onlinesale?int=faq
44,Как произвести оплату за лотерейный билет?,Выберите способ покупки билетов на странице «Адреса точек продаж и выплат» .Подробная инструкция о покупке билетов на сайте находится на странице «Как купить билет на сайте stoloto.ru».,https://www.stoloto.ru/lottery/onlinesale?int=faq
45,Есть ли шаги или инструкции по покупке билета?,Выберите способ покупки билетов на странице «Адреса точек продаж и выплат» .Подробная инструкция о покупке билетов на сайте находится на странице «Как купить билет на сайте stoloto.ru».,https://www.stoloto.ru/lottery/onlinesale?int=faq
46,Как проверить лотерейный билет?,Подробная информация о проверке билета доступна на странице «Проверить билет».,https://www.stoloto.ru/check-ticket?int=faq
47,Где найти информацию о проверке билета?,Подробная информация о проверке билета доступна на странице «Проверить билет».,https://www.stoloto.ru/check-ticket?int=faq
48,"Как узнать, выиграл ли мой билет?",Подробная информация о проверке билета доступна на странице «Проверить билет».,https://www.stoloto.ru/check-ticket?int=faq
49,Какие шаги нужно предпринять для проверки билета?,Подробная информация о проверке билета доступна на странице «Проверить билет».,https://www.stoloto.ru/check-ticket?int=faq
50,Где находится страница для проверки лотерейных билетов?,Подробная информация о проверке билета доступна на странице «Проверить билет».,https://www.stoloto.ru/check-ticket?int=faq
51,Почему не получается проверить билет?,"Если не получается проверить билет, убедитесь, что:— вы вводите корректный номер тиража (он указан на билете);— тираж на момент проверки уже состоялся (дата тиража указана на билете);— вы правильно выбрали название лотереи (например, если у вас билет «Русского лото», в пункте проверки выберите это название).Если сразу после просмотра трансляции программы «У нас выигрывают!» на НТВ не удается проверить билет, вернитесь к странице немного позже. Во всех остальных случаях обратитесь в службу поддержки по телефону 8 900 555-00-55 или нажмите диалоговую иконку в правом углу любой страницы сайта.",False
52,Какие могут быть причины невозможности проверки билета?,"Если не получается проверить билет, убедитесь, что:— вы вводите корректный номер тиража (он указан на билете);— тираж на момент проверки уже состоялся (дата тиража указана на билете);— вы правильно выбрали название лотереи (например, если у вас билет «Русского лото», в пункте проверки выберите это название).Если сразу после просмотра трансляции программы «У нас выигрывают!» на НТВ не удается проверить билет, вернитесь к странице немного позже. Во всех остальных случаях обратитесь в службу поддержки по телефону 8 900 555-00-55 или нажмите диалоговую иконку в правом углу любой страницы сайта.",False
53,"Что делать, если не удается проверить лотерейный билет?","Если не получается проверить билет, убедитесь, что:— вы вводите корректный номер тиража (он указан на билете);— тираж на момент проверки уже состоялся (дата тиража указана на билете);— вы правильно выбрали название лотереи (например, если у вас билет «Русского лото», в пункте проверки выберите это название).Если сразу после просмотра трансляции программы «У нас выигрывают!» на НТВ не удается проверить билет, вернитесь к странице немного позже. Во всех остальных случаях обратитесь в службу поддержки по телефону 8 900 555-00-55 или нажмите диалоговую иконку в правом углу любой страницы сайта.",False
54,Какие шаги следует предпринять при проблемах с проверкой билета?,"Если не получается проверить билет, убедитесь, что:— вы вводите корректный номер тиража (он указан на билете);— тираж на момент проверки уже состоялся (дата тиража указана на билете);— вы правильно выбрали название лотереи (например, если у вас билет «Русского лото», в пункте проверки выберите это название).Если сразу после просмотра трансляции программы «У нас выигрывают!» на НТВ не удается проверить билет, вернитесь к странице немного позже. Во всех остальных случаях обратитесь в службу поддержки по телефону 8 900 555-00-55 или нажмите диалоговую иконку в правом углу любой страницы сайта.",False
55,"Как удостовериться, что номер тиража введен корректно при проверке билета?","Если не получается проверить билет, убедитесь, что:— вы вводите корректный номер тиража (он указан на билете);— тираж на момент проверки уже состоялся (дата тиража указана на билете);— вы правильно выбрали название лотереи (например, если у вас билет «Русского лото», в пункте проверки выберите это название).Если сразу после просмотра трансляции программы «У нас выигрывают!» на НТВ не удается проверить билет, вернитесь к странице немного позже. Во всех остальных случаях обратитесь в службу поддержки по телефону 8 900 555-00-55 или нажмите диалоговую иконку в правом углу любой страницы сайта.",False
56,"Как узнать, в каком тираже участвует мой билет?",На сайте номер тиража отображается на странице информации о билете в личном кабинете сразу после завершения покупки.В чёрно-белом бумажном уведомлении о приёме лотерейной ставки этот номер находится в верхней её части после слов «Билет действителен для ... тиража (ей) от тиража №...».,False
57,Где найти информацию о тираже лотерейного билета?,На сайте номер тиража отображается на странице информации о билете в личном кабинете сразу после завершения покупки.В чёрно-белом бумажном уведомлении о приёме лотерейной ставки этот номер находится в верхней её части после слов «Билет действителен для ... тиража (ей) от тиража №...».,False
58,На какой странице личного кабинета отображается номер тиража билета?,На сайте номер тиража отображается на странице информации о билете в личном кабинете сразу после завершения покупки.В чёрно-белом бумажном уведомлении о приёме лотерейной ставки этот номер находится в верхней её части после слов «Билет действителен для ... тиража (ей) от тиража №...».,False
59,Где указан номер тиража в чёрно-белом бумажном уведомлении?,На сайте номер тиража отображается на странице информации о билете в личном кабинете сразу после завершения покупки.В чёрно-белом бумажном уведомлении о приёме лотерейной ставки этот номер находится в верхней её части после слов «Билет действителен для ... тиража (ей) от тиража №...».,False
60,Какой номер следует искать для определения тиража лотерейного билета?,На сайте номер тиража отображается на странице информации о билете в личном кабинете сразу после завершения покупки.В чёрно-белом бумажном уведомлении о приёме лотерейной ставки этот номер находится в верхней её части после слов «Билет действителен для ... тиража (ей) от тиража №...».,False
61,Могу ли я восстановить потерянный билет?,"Если билет был куплен в розничной точке продаж без указания номера телефона, то восстановлению он не подлежит.Если билет был приобретен с указанием номера телефона или по СМС — вы можете зарегистрироваться на www.stoloto.ru, указав номер телефона, на который был оформлен билет. Билет автоматически отобразится в личном кабинете.",False
62,"Как восстановить билет, если он утерян?","Если билет был куплен в розничной точке продаж без указания номера телефона, то восстановлению он не подлежит.Если билет был приобретен с указанием номера телефона или по СМС — вы можете зарегистрироваться на www.stoloto.ru, указав номер телефона, на который был оформлен билет. Билет автоматически отобразится в личном кабинете.",False
63,"Возможно ли восстановление билета, купленного без указания номера телефона?","Если билет был куплен в розничной точке продаж без указания номера телефона, то восстановлению он не подлежит.Если билет был приобретен с указанием номера телефона или по СМС — вы можете зарегистрироваться на www.stoloto.ru, указав номер телефона, на который был оформлен билет. Билет автоматически отобразится в личном кабинете.",False
64,Какие шаги следует предпринять при потере лотерейного билета?,"Если билет был куплен в розничной точке продаж без указания номера телефона, то восстановлению он не подлежит.Если билет был приобретен с указанием номера телефона или по СМС — вы можете зарегистрироваться на www.stoloto.ru, указав номер телефона, на который был оформлен билет. Билет автоматически отобразится в личном кабинете.",False
65,Как зарегистрироваться на www.stoloto.ru для восстановления билета?,"Если билет был куплен в розничной точке продаж без указания номера телефона, то восстановлению он не подлежит.Если билет был приобретен с указанием номера телефона или по СМС — вы можете зарегистрироваться на www.stoloto.ru, указав номер телефона, на который был оформлен билет. Билет автоматически отобразится в личном кабинете.",False
66,Как подарить лотерейный билет?,"Подробная информация о том, как подарить билет, доступна в разделе «Билет в подарок».Подробную видеоинструкцию можно посмотреть на официальном Youtube-канале «Столото».Если в билете вы указали неверные данные (например, номер мобильного телефона), то отменить его, к сожалению, не получится. Вы можете оформить новый билет.",False
67,Где найти информацию о подарке билета?,"Подробная информация о том, как подарить билет, доступна в разделе «Билет в подарок».Подробную видеоинструкцию можно посмотреть на официальном Youtube-канале «Столото».Если в билете вы указали неверные данные (например, номер мобильного телефона), то отменить его, к сожалению, не получится. Вы можете оформить новый билет.",False
68,Как оформить билет в подарок?,"Подробная информация о том, как подарить билет, доступна в разделе «Билет в подарок».Подробную видеоинструкцию можно посмотреть на официальном Youtube-канале «Столото».Если в билете вы указали неверные данные (например, номер мобильного телефона), то отменить его, к сожалению, не получится. Вы можете оформить новый билет.",False
69,Есть ли видеоинструкция по подарку билета на Youtube-канале «Столото»?,"Подробная информация о том, как подарить билет, доступна в разделе «Билет в подарок».Подробную видеоинструкцию можно посмотреть на официальном Youtube-канале «Столото».Если в билете вы указали неверные данные (например, номер мобильного телефона), то отменить его, к сожалению, не получится. Вы можете оформить новый билет.",False
70,"Что делать, если указаны неверные данные в билете?","Подробная информация о том, как подарить билет, доступна в разделе «Билет в подарок».Подробную видеоинструкцию можно посмотреть на официальном Youtube-канале «Столото».Если в билете вы указали неверные данные (например, номер мобильного телефона), то отменить его, к сожалению, не получится. Вы можете оформить новый билет.",False
71,Подаренный билет не отображается в личном кабинете друга. Что делать?,"Если вы ввели всё правильно и ваш друг получил оповещения по СМС и имейлу, но не видит подаренного билета в личном кабинете, необходимо сообщить об этом в службу поддержки пользователей (нажмите диалоговую иконку в правом углу любой страницы сайта).",False
72,Мой друг не видит подаренный билет в своем личном кабинете. Как помочь?,"Если вы ввели всё правильно и ваш друг получил оповещения по СМС и имейлу, но не видит подаренного билета в личном кабинете, необходимо сообщить об этом в службу поддержки пользователей (нажмите диалоговую иконку в правом углу любой страницы сайта).",False
73,Как уведомить службу поддержки о проблеме с отображением подаренного билета?,"Если вы ввели всё правильно и ваш друг получил оповещения по СМС и имейлу, но не видит подаренного билета в личном кабинете, необходимо сообщить об этом в службу поддержки пользователей (нажмите диалоговую иконку в правом углу любой страницы сайта).",False
74,"Что делать, если подаренный лотерейный билет не появляется в личном кабинете получателя?","Если вы ввели всё правильно и ваш друг получил оповещения по СМС и имейлу, но не видит подаренного билета в личном кабинете, необходимо сообщить об этом в службу поддержки пользователей (нажмите диалоговую иконку в правом углу любой страницы сайта).",False
75,"Как связаться со службой поддержки, если возникли проблемы с подаренным билетом?","Если вы ввели всё правильно и ваш друг получил оповещения по СМС и имейлу, но не видит подаренного билета в личном кабинете, необходимо сообщить об этом в службу поддержки пользователей (нажмите диалоговую иконку в правом углу любой страницы сайта).",False
76,"Где посмотреть купленные билеты, если я не зарегистрирован на сайте?","Вы можете зарегистрироваться на сайте с номером телефона, указанным вами при покупке билета. После завершения регистрации билет отобразится в вашем личном кабинете в разделе «Мои билеты».Инструкция, как зарегистрироваться, находится в разделе «Как купить билет».Раздел «Регистрация» находится в левом верхнем углу главной страницы сайта.",https://www.stoloto.ru/lottery/onlinesale#tag_withoutreg
77,"Как увидеть билеты, если покупка была совершена без регистрации?","Вы можете зарегистрироваться на сайте с номером телефона, указанным вами при покупке билета. После завершения регистрации билет отобразится в вашем личном кабинете в разделе «Мои билеты».Инструкция, как зарегистрироваться, находится в разделе «Как купить билет».Раздел «Регистрация» находится в левом верхнем углу главной страницы сайта.",https://www.stoloto.ru/lottery/onlinesale#tag_withoutreg
78,Где на сайте найти информацию о купленных билетах без регистрации?,"Вы можете зарегистрироваться на сайте с номером телефона, указанным вами при покупке билета. После завершения регистрации билет отобразится в вашем личном кабинете в разделе «Мои билеты».Инструкция, как зарегистрироваться, находится в разделе «Как купить билет».Раздел «Регистрация» находится в левом верхнем углу главной страницы сайта.",https://www.stoloto.ru/lottery/onlinesale#tag_withoutreg
79,Как зарегистрироваться на сайте для просмотра своих билетов?,"Вы можете зарегистрироваться на сайте с номером телефона, указанным вами при покупке билета. После завершения регистрации билет отобразится в вашем личном кабинете в разделе «Мои билеты».Инструкция, как зарегистрироваться, находится в разделе «Как купить билет».Раздел «Регистрация» находится в левом верхнем углу главной страницы сайта.",https://www.stoloto.ru/lottery/onlinesale#tag_withoutreg
80,Как найти раздел «Мои билеты» после регистрации на сайте?,"Вы можете зарегистрироваться на сайте с номером телефона, указанным вами при покупке билета. После завершения регистрации билет отобразится в вашем личном кабинете в разделе «Мои билеты».Инструкция, как зарегистрироваться, находится в разделе «Как купить билет».Раздел «Регистрация» находится в левом верхнем углу главной страницы сайта.",https://www.stoloto.ru/lottery/onlinesale#tag_withoutreg
81,Какие лотереи доступны для покупки в лотерейном центре?,"Вы можете купить билеты любых государственных лотерей. Это тиражные лотереи «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также широкий ассортимент бестиражных лотерей.",False
82,Какие государственные лотереи представлены в лотерейном центре?,"Вы можете купить билеты любых государственных лотерей. Это тиражные лотереи «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также широкий ассортимент бестиражных лотерей.",False
83,Список каких лотерей можно найти в лотерейном центре?,"Вы можете купить билеты любых государственных лотерей. Это тиражные лотереи «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также широкий ассортимент бестиражных лотерей.",False
84,Какие тиражные лотереи можно приобрести в лотерейном центре?,"Вы можете купить билеты любых государственных лотерей. Это тиражные лотереи «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также широкий ассортимент бестиражных лотерей.",False
85,Что включает в себя ассортимент бестиражных лотерей в лотерейном центре?,"Вы можете купить билеты любых государственных лотерей. Это тиражные лотереи «Спортлото «5 из 36», «Спортлото «6 из 45», «Спортлото «7 из 49», «Спортлото «4 из 20», «Большое Спортлото», «Охота», «КЕНО», «Рапидо», «Рапидо 2.0», «Всё или ничего», «Топ-3», «Рокетбинго», «Русское лото», «Жилищная лотерея», «Золотая подкова», «Проще, чем дважды два», «Забава от Русского лото», а также широкий ассортимент бестиражных лотерей.",False
86,"Почему для некоторых лотерей нужно указывать номер телефона, а для других — нет?","Для лотерей «Русское лото», «Жилищная лотерея», «Золотая подкова», «Бинго-75» и «6 из 36» существует два вида билетов, которые вы можете приобрести в точках продаж: электронные лотерейные билеты — приобретаются с помощью купонов, при использовании которых нужно указывать номер мобильного телефона, и типографские билеты. Цветной купон и черно-белое уведомление о приёме лотерейной ставки и регистрации электронного лотерейного билета с датой и номером тиража, а также всеми теми числами, которые есть в цветном купоне. Важно! Такие билеты вы можете приобрести только на ближайший тираж лотереи. Такой билет является основанием для выплаты выигрыша. Эти билеты интересны тем, что можно сразу купить несколько разных билетов на разные тиражи. Ознакомиться с образцами билетов вы можете на странице любой указанной лотереи в разделе «Правила».",False
87,Какие лотереи требуют указания номера телефона при покупке билета?,"Для лотерей «Русское лото», «Жилищная лотерея», «Золотая подкова», «Бинго-75» и «6 из 36» существует два вида билетов, которые вы можете приобрести в точках продаж: электронные лотерейные билеты — приобретаются с помощью купонов, при использовании которых нужно указывать номер мобильного телефона, и типографские билеты. Цветной купон и черно-белое уведомление о приёме лотерейной ставки и регистрации электронного лотерейного билета с датой и номером тиража, а также всеми теми числами, которые есть в цветном купоне. Важно! Такие билеты вы можете приобрести только на ближайший тираж лотереи. Такой билет является основанием для выплаты выигрыша. Эти билеты интересны тем, что можно сразу купить несколько разных билетов на разные тиражи. Ознакомиться с образцами билетов вы можете на странице любой указанной лотереи в разделе «Правила».",False
88,Чем отличаются электронные лотерейные билеты от типографских?,"Для лотерей «Русское лото», «Жилищная лотерея», «Золотая подкова», «Бинго-75» и «6 из 36» существует два вида билетов, которые вы можете приобрести в точках продаж: электронные лотерейные билеты — приобретаются с помощью купонов, при использовании которых нужно указывать номер мобильного телефона, и типографские билеты. Цветной купон и черно-белое уведомление о приёме лотерейной ставки и регистрации электронного лотерейного билета с датой и номером тиража, а также всеми теми числами, которые есть в цветном купоне. Важно! Такие билеты вы можете приобрести только на ближайший тираж лотереи. Такой билет является основанием для выплаты выигрыша. Эти билеты интересны тем, что можно сразу купить несколько разных билетов на разные тиражи. Ознакомиться с образцами билетов вы можете на странице любой указанной лотереи в разделе «Правила».",False
